GrNr;TrialNr;ParticipantNr;EMO;SIG;SYNCIX
2;8;8;1;0.006995313;0.99462594
2;9;5;-1;0.28220474;0.49492469
2;9;6;0;0.10040235;0.93621754
2;9;7;0;0.088243045;0.96996958
2;9;8;-1;0.10901751;0.94409886
2;10;5;-1;0.35900621;0.37954287
2;10;6;0;0.094320997;0.9828168
2;10;7;0;0.13177614;0.96239029
2;10;8;1;0.15360896;0.85171338
2;11;5;-1;0.32471118;0.36557875
2;11;6;0;0.14173382;0.95996505
2;11;7;1;0.1434327;0.91836558
2;11;8;-1;0.097284208;0.9337091
2;12;5;-1;0.026452149;0.92236872
2;12;6;0;0.041397278;0.96895499
2;12;7;1;0.024504917;0.95188845
2;12;8;0;0.024905773;0.96014461
2;13;5;-1;0.11737461;0.79108458
2;13;6;1;0.075668764;0.94573597
2;13;7;-1;0.0439692;0.92049507
2;13;8;0;0.08126303;0.79147004
2;14;5;-1;0.10239944;0.82504938
2;14;6;1;0.062334023;0.99152489
2;14;7;-1;0.035392168;0.96825994
2;14;8;1;0.031869068;0.93383069
2;15;5;-1;0.13997105;0.68585248
2;15;6;1;0.08206244;0.94939967
2;15;7;0;0.096301418;0.97339184
2;15;8;-1;0.17503499;0.95579317
2;16;5;-1;0.022829193;0.96949978
2;16;6;1;0.017557456;0.98146355
2;16;7;0;0.033278269;0.94889369
2;16;8;1;0.015945973;0.96015894
2;17;5;-1;0.087794791;0.96997077
2;17;6;1;0.073871871;0.98157588
2;17;7;1;0.073540368;0.94606566
2;17;8;-1;0.096145963;0.77896238
2;18;5;-1;0.062941789;0.93260835
2;18;6;1;0.060190384;0.98826142
2;18;7;1;0.05452273;0.93627377
2;18;8;0;0.11398864;0.82999061
2;19;5;0;0.043261625;0.96139479
2;19;6;-1;0.029335706;0.9523984
2;19;7;-1;0.063904907;0.96704438
2;19;8;0;0.2014089;0.78652626
2;20;5;0;0.2101802;0.64141596
2;20;6;-1;0.078747115;0.84049213
2;20;7;-1;0.07343302;0.92753792
2;20;8;1;0.07204155;0.77151347
2;21;5;0;0.19865187;0.87259205
2;21;6;-1;0.048023243;0.95015318
2;21;7;0;0.090469431;0.96729607
2;21;8;-1;0.065744161;0.82744313
2;22;5;0;0.089993486;0.91342213
2;22;6;-1;0.091145131;0.98120854
2;22;7;0;0.043826974;0.92342535
2;22;8;1;0.19212051;0.81917064
2;23;5;0;0.080421386;0.98375994
2;23;6;-1;0.065333398;0.9691801
2;23;7;1;0.33941353;0.78455295
2;23;8;-1;0.088266484;0.96026614
2;24;5;0;0.085504069;0.78635495
2;24;6;-1;0.083262011;0.9382159
2;24;7;1;0.11292348;0.8906506
2;24;8;0;0.27257781;0.76845198
2;25;5;0;0.029960824;0.92647781
2;25;6;0;0.055583947;0.98277851
2;25;7;-1;0.05278226;0.98628822
2;25;8;0;0.12154004;0.95764397
2;26;5;0;0.067288572;0.97789701
2;26;6;0;0.061145295;0.92255531
2;26;7;-1;0.069152179;0.95854814
2;26;8;1;0.20369427;0.61703723
2;27;5;0;0.081271479;0.97156034
2;27;6;0;0.078809218;0.9364266
2;27;7;0;0.078788739;0.9657941
2;27;8;-1;0.25228542;0.65211907
2;28;5;0;0.068871157;0.80878113
2;28;6;0;0.15540075;0.65711982
2;28;7;0;0.051106397;0.87741567
2;28;8;1;0.043259954;0.84733221
2;29;5;0;0.17999848;0.77741415
2;29;6;0;0.023157859;0.93405589
2;29;7;1;0.037773804;0.96499171
2;29;8;-1;0.050549211;0.96924175
2;30;5;0;0.14047201;0.90836572
2;30;6;0;0.064518838;0.96748881
2;30;7;1;0.082396061;0.98277368
2;30;8;0;0.11471823;0.90328356
2;31;5;0;0.060210856;0.94036789
2;31;6;1;0.054509917;0.97334933
2;31;7;-1;0.039493215;0.96776225
2;31;8;0;0.074109596;0.91151613
2;32;5;0;0.13221321;0.73039248
2;32;6;1;0.010370052;0.92353028
2;32;7;-1;0.027494254;0.90062188
2;32;8;1;0.074220097;0.77283103
2;33;5;0;0.19069167;0.80950447
2;33;6;1;0.0476329;0.91554222
2;33;7;0;0.096355441;0.96141231
2;33;8;-1;0.11296963;0.75814888
2;34;5;0;0.047970965;0.98321442
2;34;6;1;0.017652032;0.9707352
2;34;7;0;0.023406671;0.95467304
2;34;8;1;0.11975634;0.93841865
2;35;5;0;0.043316946;0.9813835
2;35;6;1;0.027278762;0.98323169
2;35;7;1;0.069634071;0.94460048
2;35;8;-1;0.042789329;0.98406888
2;36;5;0;0.048620101;0.91141655
2;36;6;1;0.088077156;0.93187411
2;36;7;1;0.045341048;0.95532658
2;36;8;0;0.17875937;0.90937601
2;37;5;1;0.19102219;0.75595068
2;37;6;-1;0.060877746;0.89881673
2;37;7;-1;0.12176045;0.96533094
2;37;8;0;0.22359561;0.54126535
2;38;5;1;0.018748127;0.97475138
2;38;6;-1;0.022414534;0.99127375
2;38;7;-1;0.029172854;0.96550357
2;38;8;1;0.023268931;0.95124782
2;39;5;1;0.081740839;0.94189526
2;39;6;-1;0.036832568;0.92217887
2;39;7;0;0.041463422;0.91699399
2;39;8;-1;0.15853657;0.69275782
2;40;5;1;0.04250866;0.94821906
2;40;6;-1;0.069444293;0.96836364
2;40;7;0;0.089895865;0.97052037
2;40;8;1;0.30630341;0.6875241
2;41;5;1;0.015030878;0.96163827
2;41;6;-1;0.013001793;0.9688622
2;41;7;1;0.026055531;0.976918
2;41;8;-1;0.020186564;0.95228414
2;42;5;1;0.061422535;0.97341153
2;42;6;-1;0.066820926;0.98206734
2;42;7;1;0.071189561;0.97863078
2;42;8;0;0.15904245;0.91496736
2;43;5;1;0.10912592;0.97676227
2;43;6;0;0.06826224;0.96273706
2;43;7;-1;0.038676431;0.96101739
2;43;8;0;0.30022376;0.89610611
2;44;5;1;0.05002989;0.97016519
2;44;6;0;0.050468813;0.98661494
2;44;7;-1;0.19584908;0.97615766
2;44;8;1;0.02251142;0.93746388
2;45;5;1;0.016500419;0.95687344
2;45;6;0;0.017610636;0.99098835
2;45;7;0;0.014070589;0.97556939
2;45;8;-1;0.047264966;0.9353612
2;46;5;1;0.090782642;0.97490742
2;46;6;0;0.033805154;0.91510594
2;46;7;0;0.1176883;0.96672887
2;46;8;1;0.17528306;0.71109573
2;47;5;1;0.011747833;0.97770944
2;47;6;0;0.019073035;0.98691008
2;47;7;1;0.016116425;0.98900033
2;47;8;-1;0.01271648;0.96220164
2;48;5;1;0.067027848;0.94447752
2;48;6;0;0.061141004;0.91873331
2;48;7;1;0.1710604;0.98306446
2;48;8;0;0.12320897;0.92668255
2;49;5;1;0.056541556;0.83884917
2;49;6;1;0.13202053;0.68244176
2;49;7;-1;0.082672713;0.88925701
2;49;8;0;0.22540041;0.61881497
2;50;5;1;0.054741009;0.89164581
2;50;6;1;0.048163588;0.89983325
2;50;7;-1;0.054121346;0.95593721
2;50;8;1;0.13043236;0.74916079
2;51;5;1;0.058121631;0.95307412
2;51;6;1;0.085870284;0.92824433
2;51;7;0;0.3342493;0.95510386
2;51;8;-1;0.061522838;0.87045133
2;52;5;1;0.028511956;0.97077691
2;52;6;1;0.031446331;0.9775152
2;52;7;0;0.044234042;0.96660575
2;52;8;1;0.11590083;0.8051812
2;53;5;1;0.041001285;0.98001033
2;53;6;1;0.031960872;0.96638131
2;53;7;1;0.028141234;0.97150512
2;53;8;-1;0.11884854;0.80039237
2;54;5;1;0.060383303;0.98592676
2;54;6;1;0.04646192;0.98379642
2;54;7;1;0.1350143;0.88585007
2;54;8;0;0.057366445;0.94702994
3;1;9;-1;0.088289813;0.91263929
3;1;10;-1;0.15407317;0.95800804
3;1;11;-1;0.36284085;0.36686708
3;1;12;0;0.15306261;0.95238041
3;2;9;-1;0.11193389;0.94676724
3;2;10;-1;0.075166987;0.72906058
3;2;11;-1;0.31155284;0.5656493
3;2;12;1;0.091783537;0.97295553
3;3;9;-1;0.23448552;0.66933419
3;3;10;-1;0.12981649;0.65820581
3;3;11;0;0.11012605;0.86769404
3;3;12;-1;0.12479934;0.86326736
3;4;9;-1;0.049916099;0.97843615
3;4;10;-1;0.063656737;0.84446259
3;4;11;0;0.094387028;0.94150898
3;4;12;1;0.035576763;0.97359711
3;5;9;-1;0.034651727;0.98454119
3;5;10;-1;0.029089195;0.99565139
3;5;11;1;0.068396973;0.97285554
3;5;12;-1;0.032295979;0.99507833
3;6;9;-1;0.031599505;0.99533541
3;6;10;-1;0.020130309;0.98517853
3;6;11;1;0.070152725;0.98623766
3;6;12;0;0.010140063;0.98226614
3;7;9;-1;0.03373162;0.98199388
3;7;10;0;0.016443756;0.99553077
3;7;11;-1;0.012836881;0.9847829
3;7;12;0;0.007049787;0.98946877
3;8;9;-1;0.021834064;0.98333207
3;8;10;0;0.071358981;0.89609302
3;8;11;-1;0.021490981;0.97100693
3;8;12;1;0.034899302;0.97620318
3;9;9;-1;0.016587777;0.99347503
3;9;10;0;0.021620542;0.98403519
3;9;11;0;0.040257277;0.97272621
3;9;12;-1;0.017495421;0.9560989
3;10;9;-1;0.024853562;0.98448317
3;10;10;0;0.021501334;0.99231123
3;10;11;0;0.035530676;0.98131295
3;10;12;1;0.066119167;0.95665096
3;11;9;-1;0.008653625;0.98316812
3;11;10;0;0.015050627;0.99373766
3;11;11;1;0.054914365;0.97740219
3;11;12;-1;0.021350459;0.98091294
3;12;9;-1;0.004382474;0.98187267
3;12;10;0;0.054264628;0.99508697
3;12;11;1;0.15824795;0.95253294
3;12;12;0;0.027503715;0.98041571
3;13;9;-1;0.01853049;0.9881589
3;13;10;1;0.013225536;0.97613896
3;13;11;-1;0.019998589;0.97563867
3;13;12;0;0.053767686;0.9811405
3;14;9;-1;0.040185977;0.96933236
3;14;10;1;0.052658748;0.98439827
3;14;11;-1;0.13720033;0.97480398
3;14;12;1;0.055724229;0.97813313
3;15;9;-1;0.014431723;0.96613901
3;15;10;1;0.014904182;0.98713997
3;15;11;0;0.034381922;0.9782992
3;15;12;-1;0.037284395;0.98437488
3;16;9;-1;0.17844505;0.87330551
3;16;10;1;0.12603687;0.81838365
3;16;11;0;0.80552483;0.55736913
3;16;12;1;0.17344652;0.96168569
3;17;9;-1;0.030700953;0.9756637
3;17;10;1;0.15656952;0.97434477
3;17;11;1;0.071413359;0.97399145
3;17;12;-1;0.072315216;0.98587602
3;18;9;-1;0.036309036;0.97731391
3;18;10;1;0.037506138;0.96468251
3;18;11;1;0.090091135;0.94263746
3;18;12;0;0.074410113;0.94616574
3;19;9;0;0.047434673;0.95161747
3;19;10;-1;0.007392127;0.97927559
3;19;11;-1;0.008260398;0.97943779
3;19;12;0;0.023032088;0.97290884
3;20;9;0;0.025876549;0.95758087
3;20;10;-1;0.015106094;0.98142047
3;20;11;-1;0.018393072;0.96149174
3;20;12;1;0.016170874;0.94772058
3;21;9;0;0.021566803;0.98637354
3;21;10;-1;0.01439224;0.98941241
3;21;11;0;0.014057871;0.98203523
3;21;12;-1;0.024591607;0.98311101
3;22;9;0;0.046896564;0.95675314
3;22;10;-1;0.045060947;0.96453724
3;22;11;0;0.02067693;0.93981887
3;22;12;1;0.037026924;0.96735598
3;23;9;0;0.15457373;0.96935135
3;23;10;-1;0.088293542;0.91269818
3;23;11;1;0.088024375;0.87491563
3;23;12;-1;0.46710166;0.15676294
3;24;9;0;0.056424831;0.98889483
3;24;10;-1;0.036763591;0.97193655
3;24;11;1;0.089246189;0.97020499
3;24;12;0;0.069380584;0.93329544
3;25;9;0;0.005266422;0.9882758
3;25;10;0;0.006343372;0.9922278
3;25;11;-1;0.013489205;0.98290037
3;25;12;0;0.022190636;0.97925258
3;26;9;0;0.007916164;0.9781343
3;26;10;0;0.008474695;0.98394427
3;26;11;-1;0.021297631;0.94896735
3;26;12;1;0.022039848;0.97441753
3;27;9;0;0.022207011;0.95415332
3;27;10;0;0.013966307;0.98971587
3;27;11;0;0.026159886;0.95268959
3;27;12;-1;0.022635639;0.98419326
3;28;9;0;0.018874705;0.98024624
3;28;10;0;0.013501657;0.99015663
3;28;11;0;0.013700337;0.98640508
3;28;12;1;0.077521773;0.96514517
3;29;9;0;0.012236942;0.98498812
3;29;10;0;0.00851242;0.99145566
3;29;11;1;0.006445534;0.9917937
3;29;12;-1;0.008480994;0.98337825
3;30;9;0;0.15192839;0.97942525
3;30;10;0;0.06273612;0.98778794
3;30;11;1;0.019288176;0.98059153
3;30;12;0;0.41118524;0.96017937
3;31;9;0;0.012657533;0.97422662
3;31;10;1;0.011846463;0.97683841
3;31;11;-1;0.019940855;0.96967232
3;31;12;0;0.024256485;0.94462697
3;32;9;0;0.005465662;0.98645583
3;32;10;1;0.0050542;0.98402446
3;32;11;-1;0.002538962;0.99688666
3;32;12;1;0.007785464;0.98761682
3;33;9;0;0.003357799;0.98633552
3;33;10;1;0.010829386;0.97373229
3;33;11;0;0.010589328;0.9900738
3;33;12;-1;0.007814103;0.98722323
3;34;9;0;0.027330283;0.97342678
3;34;10;1;0.01440055;0.9760526
3;34;11;0;0.016250929;0.96785717
3;34;12;1;0.02321702;0.96623542
3;35;9;0;0.006319054;0.99733552
3;35;10;1;0.007292072;0.98595161
3;35;11;1;0.007935927;0.98775116
3;35;12;-1;0.012808823;0.98434637
3;36;9;0;0.011556932;0.99304169
